09/09/17 TX gain 16~32~2, alpha 40, encoding 0~6~2 300s/3s Side channel Encoding 8-PSK
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.60, SNR 4.07 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.42, SNR 4.22 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.02, SNR 4.27 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.56, SNR 4.45 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.11, SNR 4.03 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.11, SNR 4.15 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.11, SNR 3.45 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.27, SNR 4.24 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.06, SNR 4.53 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.75, SNR 3.59 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.80, SNR 4.38 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.64, SNR 3.88 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 4.59 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.64, SNR 4.15 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.84, SNR 3.87 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.32, SNR 3.85 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.05, SNR 4.04 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.67, SNR 4.20 dB
Encoding 2, SN 02264, Symbol length 27, Main channel BER 00.32, Side channel BER 49.84, SNR 2.92 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.96, SNR 4.55 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.92, SNR 4.25 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.52, SNR 4.78 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.79, SNR 4.65 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.67, SNR 4.42 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.43, SNR 4.15 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.89, SNR 4.11 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.27, SNR 4.26 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.51, SNR 4.56 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.67, SNR 4.55 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.17, SNR 3.92 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.69, SNR 4.12 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.20, SNR 4.19 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.48, Side channel BER 50.16, SNR 3.99 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.48, Side channel BER 50.26, SNR 3.95 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.48, Side channel BER 51.46, SNR 4.50 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.25, SNR 4.44 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.52, SNR 4.17 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.64, SNR 4.05 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.55, SNR 4.38 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.48, SNR 3.74 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.48, SNR 4.17 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.48, Side channel BER 51.35, SNR 3.50 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.62, SNR 4.14 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.38, SNR 4.27 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.66, SNR 4.04 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.16, Side channel BER 49.17, SNR 3.09 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.89, SNR 3.83 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.30, SNR 3.69 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.43, SNR 4.09 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.57, SNR 3.80 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.46, SNR 4.16 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.62, SNR 3.85 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.46, SNR 2.61 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.91, SNR 4.27 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.47, SNR 4.52 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.54, SNR 4.64 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 50.47, SNR 4.04 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.62, SNR 3.75 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 17.59, Side channel BER 50.31, SNR 3.87 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 11.55, Side channel BER 50.68, SNR 0.26 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 14.39, Side channel BER 50.57, SNR 6.55 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 07.10, Side channel BER 49.69, SNR 6.88 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 12.03, Side channel BER 49.27, SNR 6.07 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 08.75, Side channel BER 50.68, SNR 5.44 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 19.60, Side channel BER 49.32, SNR 5.99 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 12.22, Side channel BER 51.51, SNR 5.52 dB
Encoding 4, SN 03264, Symbol length 27, Main channel BER 11.75, Side channel BER 49.06, SNR 6.41 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 12.07, Side channel BER 49.27, SNR 6.81 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 14.24, Side channel BER 49.74, SNR 6.77 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 09.11, Side channel BER 49.01, SNR 6.86 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 09.70, Side channel BER 50.57, SNR 6.40 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 11.00, Side channel BER 49.27, SNR 6.25 dB
Encoding 4, SN 02123, Symbol length 27, Main channel BER 15.69, Side channel BER 48.33, SNR 6.33 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 10.76, Side channel BER 52.60, SNR 6.50 dB
Encoding 4, SN 01842, Symbol length 27, Main channel BER 37.74, Side channel BER 49.01, SNR 4.29 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 14.35, Side channel BER 48.96, SNR 4.96 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 29.97, Side channel BER 49.43, SNR 4.76 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 17.86, Side channel BER 49.22, SNR 5.96 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 15.14, Side channel BER 48.12, SNR 6.23 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 24.61, Side channel BER 50.10, SNR 6.32 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 16.32, Side channel BER 47.34, SNR 6.46 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 09.42, Side channel BER 50.68, SNR 6.05 dB
Encoding 4, SN 01267, Symbol length 27, Main channel BER 20.11, Side channel BER 50.26, SNR 5.64 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 25.59, Side channel BER 49.84, SNR 5.61 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 12.34, Side channel BER 50.83, SNR 6.69 dB
Encoding 4, SN 03100, Symbol length 27, Main channel BER 21.25, Side channel BER 48.49, SNR 5.78 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 15.77, Side channel BER 52.29, SNR 6.57 dB
Encoding 4, SN 00084, Symbol length 27, Main channel BER 13.56, Side channel BER 48.12, SNR 5.57 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 27.41, Side channel BER 49.22, SNR 6.06 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 11.71, Side channel BER 50.36, SNR 6.48 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 17.47, Side channel BER 51.61, SNR 6.30 dB
Encoding 4, SN 03584, Symbol length 27, Main channel BER 10.53, Side channel BER 50.57, SNR 6.94 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 12.70, Side channel BER 47.24, SNR 6.38 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 13.96, Side channel BER 50.26, SNR 5.56 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 14.91, Side channel BER 50.89, SNR 6.57 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 14.91, Side channel BER 53.44, SNR 6.16 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 17.11, Side channel BER 49.69, SNR 4.62 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 35.17, Side channel BER 50.21, SNR 5.14 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 10.80, Side channel BER 51.09, SNR 7.07 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 12.46, Side channel BER 51.09, SNR 6.26 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 16.68, Side channel BER 49.38, SNR 5.19 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 10.06, Side channel BER 50.10, SNR 5.90 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 19.56, Side channel BER 51.88, SNR 6.00 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 17.39, Side channel BER 49.84, SNR 6.08 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 13.53, Side channel BER 50.21, SNR 6.16 dB
Encoding 4, SN 03837, Symbol length 27, Main channel BER 09.07, Side channel BER 52.45, SNR 7.05 dB
Encoding 4, SN 04055, Symbol length 27, Main channel BER 21.61, Side channel BER 48.75, SNR 6.00 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 13.33, Side channel BER 49.84, SNR 6.35 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 18.26, Side channel BER 48.23, SNR 6.41 dB
Encoding 4, SN 00627, Symbol length 27, Main channel BER 15.10, Side channel BER 49.38, SNR 6.32 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 34.11, Side channel BER 48.07, SNR 4.10 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 18.45, Side channel BER 48.70, SNR 5.74 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 11.47, Side channel BER 47.81, SNR 6.65 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 17.35, Side channel BER 50.52, SNR 5.71 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 11.63, Side channel BER 50.31, SNR 5.93 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 17.39, Side channel BER 50.89, SNR 5.98 dB
Encoding 4, SN 03837, Symbol length 27, Main channel BER 12.93, Side channel BER 49.74, SNR 6.56 dB
Encoding 4, SN 03992, Symbol length 27, Main channel BER 36.55, Side channel BER 49.69, SNR 5.17 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 12.97, Side channel BER 50.16, SNR 6.03 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 13.76, Side channel BER 49.32, SNR 5.86 dB
Encoding 4, SN 01606, Symbol length 27, Main channel BER 13.92, Side channel BER 48.02, SNR 6.21 dB
Encoding 4, SN 03003, Symbol length 27, Main channel BER 20.39, Side channel BER 51.15, SNR 6.35 dB
