09/09/15 TX gain 8~30~2, alpha 20~40~10, encoding 0~4~2 120s/2s
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.65, Side channel BER 50.08, SNR 2.95 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.45, SNR 2.98 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 53.22, SNR 3.67 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 01.29, Side channel BER 49.69, SNR 3.20 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.11, SNR -16.53 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.47, SNR 3.65 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.39, SNR 3.19 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 01.21, Side channel BER 50.31, SNR 2.13 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.64, SNR 2.98 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 48.82, SNR 2.51 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.65, SNR 4.04 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.81, SNR 4.02 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.32, Side channel BER 51.42, SNR 3.14 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 01.13, Side channel BER 53.07, SNR 2.39 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.40, Side channel BER 52.59, SNR 3.65 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 50.31, SNR 0.34 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.24, SNR 3.35 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 49.84, SNR 3.05 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 47.88, SNR 3.58 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.24, SNR 3.34 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 01.37, Side channel BER 49.21, SNR 3.17 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.53, SNR 3.54 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.63, SNR 0.16 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.00, SNR 3.22 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.97, Side channel BER 48.43, SNR 3.21 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 51.02, SNR 3.22 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 49.21, SNR 2.12 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.71, SNR 2.54 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.48, Side channel BER 50.31, SNR 2.70 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.61, SNR 2.59 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 03.06, Side channel BER 48.27, SNR 3.60 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.66, SNR 3.67 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 49.69, SNR 3.49 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 01.13, Side channel BER 49.14, SNR 2.34 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 51.65, SNR 2.95 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 53.69, SNR 2.34 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.08, Side channel BER 47.72, SNR 3.55 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.56, Side channel BER 49.21, SNR 3.90 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.65, Side channel BER 50.08, SNR 3.26 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 51.18, SNR 3.19 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 48.03, SNR 3.99 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.24, Side channel BER 48.74, SNR 2.51 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 49.76, SNR 3.72 dB
Encoding 2, SN 00000, Symbol length 27, Main channel BER 00.00, Side channel BER 50.08, SNR 3.79 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 36.51, Side channel BER 51.65, SNR 5.15 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 24.17, Side channel BER 52.44, SNR 4.22 dB
Encoding 4, SN 00000, Symbol length 27, Main channel BER 25.08, Side channel BER 48.35, SNR 6.30 dB
Encoding 4, SN 02217, Symbol length 27, Main channel BER 35.25, Side channel BER 50.16, SNR 4.52 dB
Encoding 4, SN 02909, Symbol length 27, Main channel BER 20.94, Side channel BER 50.94, SNR 5.72 dB
Encoding 4, SN 01139, Symbol length 27, Main channel BER 36.36, Side channel BER 50.24, SNR 4.40 dB
Encoding 4, SN 00557, Symbol length 27, Main channel BER 33.52, Side channel BER 50.08, SNR 4.34 dB
Encoding 4, SN 01841, Symbol length 27, Main channel BER 24.57, Side channel BER 49.21, SNR 3.45 dB
Encoding 4, SN 01503, Symbol length 27, Main channel BER 21.96, Side channel BER 49.45, SNR 3.66 dB
Encoding 4, SN 03072, Symbol length 27, Main channel BER 25.87, Side channel BER 49.53, SNR 5.13 dB
Encoding 4, SN 03684, Symbol length 27, Main channel BER 36.95, Side channel BER 49.84, SNR 3.97 dB
Encoding 4, SN 02161, Symbol length 27, Main channel BER 27.29, Side channel BER 48.66, SNR 5.54 dB
